model,availability,price,barcode
"TC20190-SK02","24","47.4000","6009515872502"
"TC20190-SK03","10","1187.0000","6009515872519"
"TC20190-SK13","36","250.5000","6009515872618"
"TC20190-SK16","3","1941.0000","6009515878733"
"TC20190-SK17","8","290.5000","6009515878740"
"TC20321","324","1826.5000","6009515899561"
"TC20321-SK01","0","35.2000","6009515899578"
"TC20321-SK02","0","43.8000","6009515899585"
"TC20321-SK03","0","149.0000","6009515899592"
"TC20321-SK04","0","45.6000","6009515899608"
"TC20321-SK05","0","280.5000","6009515899615"
"TC20321-SK06","0","170.0000","6009515899622"
"TC20321-SK07","0","373.5000","6009515899639"
"TC20321-SK08","0","359.5000","6009515899646"
"TC20321-SK09","100","65.8000","6009515910211"
"TC20321-SK10","98","90.8000","6009515910228"
"TC20505","212","949.0000","6009675081394"
"TC20506","20","642.0000","6009515877156"
"TC20507","94","1599.0000","6009675083473"
"TC20508","1043","657.5000","6009515878597"
"TC20VABC-01","62","296.5000","6009515872663"
"TC20VABC-02","60","743.5000","6009515872670"
"TC20VABC-03","371","1219.0000","6009515899455"
"TC28012","-5","68.0000","6009675089499"
"TC28013","62","74.4000","6009675089505"
"TC28014","174","101.0000","6009515800055"
"TC28016","977","104.0000","6009515800062"
"TC28017","536","112.5000","6009515811976"
"TC28018","124","119.0000","6009515800079"
"TC28019","355","122.5000","6009515800086"
"TC28020","1173","127.0000","6009515800093"
"TC28022","565","133.0000","6009515800109"
"TC28024","181","143.0000","6009515800116"
"TC28025","1518","149.0000","6009515800123"
"TC28028","306","162.5000","6009515800130"
"TC28030","1085","184.5000","6009515800147"
"TC28032","545","190.5000","6009515800154"
"TC28035","780","199.5000","6009515800161"
"TC28038","412","242.5000","6009515800178"
"TC28040","376","249.0000","6009515800185"
"TC28042","104","270.5000","6009515800192"
"TC28045","44","289.0000","6009515800208"
"TC28048","241","294.5000","6009515800215"
"TC28050","542","307.5000","6009515800222"
"TC28055","65","362.0000","6009515800239"
"TC28060","100","408.0000","6009515800246"
"TC28064","63","440.5000","6009515811884"
"TC28070","3","490.0000","6009515800253"
"TC28075","88","535.5000","6009515800260"
"TC28080","37","555.5000","6009515800277"
"TC28650","96","51.0000","6009515800284"
"TC28860","131","68.8000","6009515800291"
"TC311024","328","435.0000","6009515800437"
"TC312001","39","325.5000","6009675083626"
"TC312004","84","451.0000","6009515804428"
"TC317888","221","385.5000","6009515806392"
"TC322201","208","146.0000","6009515803889"
"TC322202","281","144.0000","6009515803896"
"TC322203","487","153.5000","6009515803902"
"TC322204","207","164.5000","6009515803919"
"TC322205","443","184.0000","6009515803926"
"TC322206","627","205.5000","6009515803933"
"TC322207","822","231.0000","6009515803940"
"TC322208","555","257.5000","6009515803957"
"TC322209","260","283.0000","6009515803964"
"TC322210","640","330.5000","6009515803971"
"TC322211","280","408.5000","6009515803988"
"TC322212","102","657.0000","6009515803995"
"TC322213","96","706.0000","6009515804008"
"TC322214","117","794.5000","6009515804015"
"TC322216","65","178.0000","6009515804039"
"TC322217","-1","58.6000","6009515804046"
"TC322218","61","110.0000","6009515804435"
"TC322222","148","175.0000","6009515806385"
"TC322223","163","227.5000","6009515807580"
"TC322225","413","155.5000","6009515809096"
"TC322228","392","198.5000","6009515811051"
"TC322229","38","77.2000","6009515811068"
"TC322230","1","331.5000","6009515810146"
"TC322233","646","232.5000","6009515811891"
"TC322234","251","253.5000","6009515811907"
"TC322237","583","120.5000","6009515813918"
"TC322238","283","297.0000","6009515813925"
"TC322239","326","109.0000","6009515813932"
"TC322240","422","161.0000","6009515813949"
"TC322241","259","219.0000","6009515813956"
"TC322242","75","279.5000","6009515813963"
"TC322243","86","214.0000","6009515813970"
"TC322247","0","235.0000","6009515818005"
"TC323040","246","341.5000","6009515824167"
"TC323050","248","503.5000","6009515824174"
"TC323055","349","515.0000","6009515824181"
"TC323060","222","594.0000","6009515824198"
"TC323065","175","672.5000","6009515824204"
"TC323070","50","881.5000","6009515824211"
"TC323080","21","918.0000","6009515824228"
"TC323110","228","1467.5000","6009515824235"
"TC323999","246","39.2000","6009675089574"
"TC353040","1105","145.0000","6009675083572"
"TC353041","769","156.0000","6009675083589"
"TC353042","-232","234.5000","6009675083596"
"TC353043","-549","313.0000","6009675083602"
"TC353044","1389","784.0000","6009675083619"
"TC353045","512","313.0000","6009515811914"
"TC353046","756","649.5000","6009515811921"
"TC353047","-7","671.5000","6009515897918"
"TC353048","117","1344.0000","6009515897925"
"TC353049","114","1680.5000","6009515904029"
"TC362003","105","82.0000","6009675086030"
"TC362004","-11","88.6000","6009515802202"
"TC362009","413","95.6000","6009675084425"
"TC362013","475","134.0000","6009675086047"
"TC362017","356","152.0000","6009675086054"
"TC362018","539","353.5000","6009515800444"
"TC373101-2","168","640.0000","6009515806415"
"TC41012","124","440.0000","6009515819668"
"TC4300","13","375.5000","6009515829858"
"TC4301","139","114.5000","6009515829865"
"TC4302","139","194.0000","6009515839437"
"TC4302-1","609","16.6000","6009515839444"
"TC4302-500","26","491.5000","6009515857325"
"TC4303","231","192.5000","6009515839451"
"TC4303-1","480","21.2000","6009515839468"
"TC4303-500","194","534.0000","6009515857332"
"TC4304","612","213.0000","6009515839475"
"TC4304-1","265","33.2000","6009515839482"
"TC4304-500","147","588.0000","6009515857349"
"TC50006","2179","30.6000","6009515853891"
"TC50007","1961","33.2000","6009515853907"
"TC50008","908","34.0000","6009515853914"
"TC50009","2796","36.0000","6009515853921"
"TC50010","63","37.6000","6009515853938"
"TC50011","608","40.0000","6009515853945"
"TC50012","816","46.8000","6009515853952"
"TC50013","2322","47.4000","6009515853969"
"TC50014","314","49.8000","6009515853976"
"TC50015","517","53.4000","6009515853983"
"TC50016","718","57.0000","6009515853990"
"TC50017","1370","64.4000","6009515854003"
"TC50018","630","75.8000","6009515854010"
"TC50019","1156","74.0000","6009515854027"
"TC50020","1171","77.4000","6009515854034"
"TC50021","1040","81.2000","6009515854041"
"TC50022","800","98.8000","6009515854058"
"TC50023","474","123.0000","6009515854065"
"TC50024","-48","136.0000","6009515854072"
"TC50025","506","140.5000","6009515854089"
"TC50026","53","130.5000","6009515854096"
"TC50027","198","182.0000","6009515854102"
"TC50028","375","174.0000","6009515854119"
"TC50029","494","197.0000","6009515868826"
"TC50030","443","233.5000","6009515854126"
"TC50032","275","267.0000","6009515854133"
"TC50036","145","400.0000","6009515883294"
"TC50040","46","557.0000","6009515904586"
"TC50041","41","558.0000","6009515883300"
"TC50042","19","557.0000","6009515904593"
"TC50044","50","802.5000","6009515904609"
"TC50046","87","766.5000","6009515904333"
"TC50048","92","977.5000","6009515883317"
"TC50050","69","977.5000","6009515883324"
"TC50106","1625","270.5000","6009515854140"
"TC50108","173","301.5000","6009515854157"
"TC50112","-2","785.5000","6009515854164"
"TC50114","-5","832.5000","6009515854171"
"TC50126","3","2242.0000","6009515854188"
"TC50226","9","3488.0000","6009515863340"
"TC51006","1590","45.0000","6009515853594"
"TC51007","1067","47.4000","6009515853600"
"TC51008","2005","48.6000","6009515853617"
"TC51009","1050","52.4000","6009515853624"
"TC51010","1637","53.4000","6009515853631"
"TC51011","1584","58.6000","6009515853648"
"TC51012","133","60.6000","6009515853655"
"TC51013","-110","65.6000","6009515853662"
"TC51014","829","71.6000","6009515853679"
"TC51015","1165","81.2000","6009515853686"
"TC51016","997","87.4000","6009515853693"
"TC51017","1908","91.0000","6009515853709"
"TC51018","357","99.8000","6009515853716"
"TC51019","1925","113.0000","6009515853723"
"TC51020","422","118.5000","6009515853730"
"TC51021","1086","131.0000","6009515853747"
"TC51022","406","143.5000","6009515853754"
"TC51023","251","156.0000","6009515853761"
"TC51024","421","208.5000","6009515853778"
"TC51025","879","218.5000","6009515853785"
"TC51026","313","255.5000","6009515853792"
"TC51027","183","293.0000","6009515853808"
"TC51028","244","305.5000","6009515853815"
"TC51029","354","324.5000","6009515868833"
"TC51030","356","373.0000","6009515853822"
"TC51032","311","380.5000","6009515853839"
"TC51036","156","512.5000","6009515883348"
"TC51040","49","766.5000","6009515904616"
"TC51041","70","768.0000","6009515883355"
"TC51042","47","766.5000","6009515904623"
"TC51044","56","944.5000","6009515904630"
"TC51046","273","985.5000","6009515904340"
"TC51048","151","1466.0000","6009515883362"
"TC51050","109","1466.0000","6009515883379"
"TC51106","-23","280.5000","6009515853846"
"TC51108","32","507.0000","6009515853853"
"TC51112","-21","679.5000","6009515853860"
"TC51114","-19","1041.0000","6009515853877"
"TC51126","-22","3230.0000","6009515853884"
"TC51226","87","3744.0000","6009515863357"
"TC52004","949","108.0000","6009515854195"
"TC52006","1052","119.0000","6009515854201"
"TC52008","694","153.0000","6009515854218"
"TC52010","496","214.5000","6009515854225"
"TC52012","1367","248.0000","6009515854232"
"TC52015","206","523.0000","6009515854249"
"TC52018","225","872.5000","6009515854256"
"TC530160","363","237.5000","6009515854317"
"TC530180","557","261.5000","6009515854324"
"TC530200","219","277.5000","6009515854331"
"TC531160","442","201.0000","6009515854348"
"TC531190","769","261.5000","6009515854355"
"TC532160","595","242.5000","6009515854362"
"TC533160","333","140.5000","6009515854379"
"TC533180","607","161.5000","6009515854386"
"TC533200","307","185.5000","6009515854393"
"TC534160","2155","128.5000","6009515854409"
"TC534160-1","1336","109.5000","6009515901189"
"TC534190","628","160.5000","6009515854416"
"TC535160","667","120.5000","6009515854423"
"TC535200","185","155.5000","6009515854430"
"TC536160","588","126.0000","6009515854447"
"TC536200","211","165.0000","6009515854454"
"TC537160","476","168.0000","6009515854461"
"TC540250","671","196.5000","6009515854478"
"TC550230","2031","153.5000","6009515854485"
"TC560200","300","171.0000","6009515903060"
"TC560254","764","215.5000","6009515854492"
"TC560300","157","291.0000","6009515903077"
"TC570170","276","115.5000","6009515854508"
"TC570254","1441","139.5000","6009515854515"
"TC570254-1","500","247.0000","6009515898090"
"TC581170","816","106.0000","6009515854522"
"TC582170","737","106.0000","6009515854539"
"TC583170","649","106.0000","6009515854546"
"TC584170","767","106.0000","6009515854553"
"TC591120","238","80.6000","6009515854560"
"TC592120","1227","80.6000","6009515854577"
"TC593120","1009","78.4000","6009515854584"
"TC594120","532","80.6000","6009515854591"
"TC595120","250","80.6000","6009515854607"
"TC596120","881","80.6000","6009515854614"
"TC597120","231","84.6000","6009515854621"
"TC598120","439","84.6000","6009515854638"
"TC599254","3179","255.0000","6009515854645"
"TC599300","808","298.5000","6009515854652"
"TC600601","-8","468.0000","6009675083466"
"TC601350","51","285.5000","6009515854669"
"TC601350-01","64","169.0000","6009515876050"
"TC601450","385","387.5000","6009515854676"
"TC601450-01","41","220.5000","6009515876067"
"TC601600","562","467.0000","6009515854683"
"TC601600-01","8","300.0000","6009515876074"
"TC601750","87","652.0000","6009515854690"
"TC601750-01","18","407.5000","6009515876081"
"TC601900","261","857.0000","6009515854706"
"TC601900-01","37","521.0000","6009515876098"
"TC602300","334","217.5000","6009515854713"
"TC602300-01","21","125.0000","6009515864941"
"TC602350","237","274.0000","6009515854720"
"TC602350-01","52","153.5000","6009515864958"
"TC602450","324","363.5000","6009515854737"
"TC602450-01","30","202.5000","6009515865443"
"TC602600","427","506.5000","6009515854744"
"TC602600-01","27","282.5000","6009515865450"
"TC603003","-95","321.5000","6009515854751"
"TC603005","421","433.0000","6009515870102"
"TC604450","801","174.0000","6009515854768"
"TC604570","10","188.0000","6009515854775"
"TC604700","114","254.5000","6009515854782"
"TC605450","379","171.5000","6009515854799"
"TC605570","413","182.5000","6009515854805"
"TC605700","108","198.0000","6009515854812"
"TC606450","423","380.5000","6009515854829"
"TC606570","455","399.0000","6009515854836"
"TC606700","181","437.0000","6009515854843"
"TC607450","-7","169.5000","6009515854850"
"TC607700","21","235.0000","6009515854867"
"TC607900","439","283.0000","6009515854874"
"TC608011","955","240.0000","6009515854881"
"TC608018","792","328.5000","6009515854898"
"TC609036","160","738.0000","6009515854935"
"TC609045","35","875.0000","6009515854942"
"TC609063","141","983.0000","6009515854959"
"TC610800","963","227.5000","6009515858704"
"TC611800","494","567.5000","6009515858711"
"TC612450","79","236.0000","6009515858728"
"TC612700","16","262.5000","6009515858735"
"TC613450","1110","148.0000","6009515858742"
"TC613900","-13","230.0000","6009515858759"
"TC613950","70","54.4000","6009515862985"
"TC613951","-3","444.0000","6009515865788"
"TC613952","-1","338.5000","6009515865795"
"TC61400","632","271.5000","6009515865801"
"TC615100","127","236.5000","6009515869311"
"TC615300","59","122.5000","6009515869298"
"TC615500","80","158.5000","6009515869304"
"TC616750","172","260.0000","6009515869328"
"TC616750-01","4704","15.2000","6009515869335"
"TC616750-02","34","109.5000","6009515903084"
"TC616750-03","134","919.5000","6009515903091"
"TC6170900","111","1327.5000","6009515897727"
"TC6171800","68","2557.5000","6009515897734"
"TC6176300","10","8423.5000","6009515898441"
"TC620030","123","16679.0000","6009515867522"
"TC620040","0","8339.0000","6009515867539"
"TC620050","-2","19798.0000","6009515877002"
"TC620060","41","9165.0000","6009515896799"
"TC620100","12","18764.0000","6009515903336"
"TC63006","309","21.4000","6009515876272"
"TC63007","98","21.4000","6009515876289"
"TC63008","-21","21.4000","6009515876296"
"TC63009","521","22.4000","6009515876302"
"TC63010","438","23.4000","6009515876319"
"TC63011","510","23.4000","6009515876326"
"TC63012","188","25.6000","6009515876333"
"TC63013","316","26.6000","6009515876340"
"TC63014","350","25.6000","6009515876357"
"TC64008","183","32.0000","6009515876364"
"TC64009","528","32.0000","6009515876371"
"TC64010","-111","32.0000","6009515876388"
"TC64011","253","32.0000","6009515876395"
"TC64012","181","32.0000","6009515876401"
"TC64013","378","31.0000","6009515876418"
"TC64014","493","32.0000","6009515876425"
"TC64015","94","32.0000","6009515876432"
"TC64016","455","32.0000","6009515876449"
"TC64017","401","37.2000","6009515876456"
"TC64018","95","38.4000","6009515876463"
"TC64019","641","38.4000","6009515876470"
"TC64020","547","43.6000","6009515876487"
"TC64021","348","43.6000","6009515876494"
"TC64022","191","47.8000","6009515876500"
"TC64023","418","51.0000","6009515876517"
"TC64024","251","51.0000","6009515876524"
"TC64025","424","62.6000","6009515876531"
"TC64026","394","57.0000","6009515906016"
"TC64027","60","69.0000","6009515876548"
"TC64028","391","79.0000","6009515906023"
"TC64029","421","80.6000","6009515906030"
"TC64030","198","92.4000","6009515876555"
"TC64032","372","99.8000","6009515876562"
"TC641010","0","52.9200","6009515916404"
"TC641011","0","52.9200","6009515916411"
"TC641012","0","52.9200","6009515916428"
"TC641014","0","53.7600","6009515916435"
"TC641016","0","52.9200","6009515916442"
"TC641018","0","57.1200","6009515916459"
"TC641020","0","56.2800","6009515916466"
"TC641022","0","61.3200","6009515916473"
"TC641024","0","65.5200","6009515916480"
"TC65007","57","24.4000","6009515876579"
"TC65008","-6","24.6000","6009515876586"
"TC65009","230","25.8000","6009515876593"
"TC65010","153","29.4000","6009515876609"
"TC65011","224","31.8000","6009515876616"
"TC65012","405","33.4000","6009515876623"
"TC65013","335","36.2000","6009515876630"
"TC65014","390","42.2000","6009515876647"
"TC66008","205","59.4000","6009515876654"
"TC66009","42","58.6000","6009515876661"
"TC66010","552","58.0000","6009515876678"
"TC66011","733","57.6000","6009515876685"
"TC66012","756","57.4000","6009515876692"
"TC66013","498","59.0000","6009515876708"
"TC66014","455","57.0000","6009515876715"
"TC66015","614","55.4000","6009515876722"
"TC66016","620","53.2000","6009515876739"
"TC66017","400","62.4000","6009515876746"
"TC66018","219","75.6000","6009515876753"
"TC66019","748","71.2000","6009515876760"
"TC66021","129","81.2000","6009515876777"
"TC66022","241","95.6000","6009515876784"
"TC66024","39","99.8000","6009515876791"
"TC66025","429","110.5000","6009515905958"
"TC66026","438","110.5000","6009515905965"
"TC66027","406","123.5000","6009515903992"
"TC66028","434","143.0000","6009515905972"
"TC66029","444","158.0000","6009515905989"
"TC66030","387","163.0000","6009515905996"
"TC66032","401","205.0000","6009515906009"
"TC671090","-2","151.5000","6009515900519"
"TC67150","396","209.0000","6009515876807"
"TC67151","253","208.0000","6009515878795"
"TC67210","270","245.5000","6009515906283"
"TC672140","-4","257.0000","6009515900526"
"TC67260","592","372.5000","6009515876814"
"TC67261","182","371.5000","6009515878801"
"TC673110","0","216.5000","6009515907532"
"TC673200","-6","225.5000","6009515907525"
"TC68003","266","103.5000","6009515899189"
"TC68050","347","21.4000","6009515876821"
"TC68075","148","24.4000","6009515876838"
"TC68100","134","43.6000","6009515876845"
"TC69003","67","175.5000","6009515899196"
"TC69075","-32","50.0000","6009515876852"
"TC69125","239","75.4000","6009515876869"
"TC69250","477","127.5000","6009515876876"
"TC71012","72","109.5000","6009515876890"
"TC71014","263","59.4000","6009515876883"
"TC71055","273","57.0000","6009515906306"
"TC72016","303","52.2000","6009515876906"
"TC72021","83","68.0000","6009515876913"
"TC73001","340","28.8000","6009515876920"
"TC73002","1354","28.8000","6009515876937"
"TC73003","1126","40.4000","6009515876944"
"TC73004","1165","44.6000","6009515876951"
"TC73005","173","82.4000","6009515898922"
"TC73006","241","56.2000","6009515898939"
"TC73007","279","44.6000","6009515911492"
"TC73010","798","350.5000","6009515899202"
"TC74110","0","40.3500","6009515906290"
"TC74150","286","79.0000","6009515906290"
"TC74250","397","173.0000","6009515876968"
"TC75012","194","718.5000","6009515876975"
"TC75027","605","2185.5000","6009515882778"
"TC75035","532","1005.0000","6009515882761"
"TC75040","288","846.5000","6009515876265"
"TC76150","13","169.5000","6009515878757"
"TC76250","83","234.5000","6009515878764"
"TC76380","247","364.0000","6009515878771"
"TC76450","587","459.5000","6009515878788"
"TC770024","27","169.5000","6009515883393"
"TC770025","71","184.0000","6009515883409"
"TC770026","25","202.0000","6009515883416"
"TC770027","48","217.0000","6009515883423"
"TC770028","49","241.0000","6009515883430"
"TC770029","44","262.5000","6009515883447"
"TC770030","99","294.0000","6009515883454"
"TC770031","16","332.0000","6009515883461"
"TC770032","71","377.0000","6009515883478"
"TC770033","59","515.0000","6009515883485"
"TC770034","12","686.0000","6009515883492"
"TC770035","3","832.5000","6009515883508"
